id,callsign,type,status,station_id
fdny-engine-97,Engine 97,Engine,Available,FDNY-E97
fdny-engine-9,Engine 9,Engine,Available,FDNY-E9L6
fdny-satellite-1,Satellite 1,Satellite,Available,FDNY-E9L6
fdny-ladder-6,Ladder 6,Tractor Trailor,Available,FDNY-E9L6
fdny-ladder-102,Ladder 102,Rear Mount,Available,FDNY-L102
fdny-collapse-4,Collapse 4,Collapse,Available,FDNY-L116
fdny-ladder-116,Ladder 116,Rear Mount,Available,FDNY-L116
fdny-division-1,Division 1,Division,Available,FDNY-L20D1
fdny-ladder-20,Ladder 20,Tractor Trailor,Available,FDNY-L20D1
fdny-collapse-1,Collapse 1,Collapse,Available,FDNY-L25D3
fdny-division-3,Division 3,Division,Available,FDNY-L25D3
fdny-ladder-25,Ladder 25,Rear Mount,Available,FDNY-L25D3
fdny-battalion-6,Battalion 6,Battalion,Available,FDNY-L3B6
fdny-ladder-3,Ladder 3,Rear Mount,Available,FDNY-L3B6
fdny-battalion-22,Battalion 22,Battalion,Available,FDNY-L79B22
fdny-ladder-79,Ladder 79,Tower Ladder,Available,FDNY-L79B22
fdny-ladder-8,Ladder 8,Rear Mount,Available,FDNY-L8
fdny-rescue-1,Rescue 1,Rescue,Available,FDNY-R1
fdny-rescue- 2,Rescue 2,Rescue,Available,FDNY-R2
fdny-rescue-3,Rescue 3,Rescue,Available,FDNY-R3
fdny-squad-1,Squad 1,Squad,Available,FDNY-S1
fdny-squad-18,Squad 18,Squad,Available,FDNY-S18
fdny-squad-252,Squad 252,Squad,Available,FDNY-S252
fdny-division-13,Division 13,Division,Available,FDNY-S270D13
fdny-squad-270,Squad 270,Squad,Available,FDNY-S270D13
fdny-hazmat-1,HazMat 1,HazMat,Available,FDNY-S288HM1
fdny-squad-288,Squad 288,Squad,Available,FDNY-S288HM1
fdny-squad-41,Squad 41,Squad,Available,FDNY-S41
fdny-battalion-20,Battalion 20,Battalion,Available,FDNY-S61B20
fdny-squad-61,Squad 61,Squad,Available,FDNY-S61B20
fdny-squad-8,Squad 8,Squad,Available,FDNY-S8
